candidate_id,formula_family,source_dataset,source_id,paper_id,question_text,equation,correct_answer,is_quantitative_calculation,formula_supported,answer_verified,source_license_verified,decision,reviewer_id,reviewer_notes
candidate_shannon_capacity_01,shannon_capacity,XINLI1997/WirelessMATHBench-XL,9296,2501.02001v1,What function of the SNR determines the spectral efficiency?,$$R_{\mathrm{tr}} = B [MASK]$$,\boxed{\log (1 + \mathrm{SNR})},,,,,,,
candidate_shannon_capacity_02,shannon_capacity,XINLI1997/WirelessMATHBench-XL,10108,2009.09380v1,Complete the numerator (desired signal power) and the summation in denominator (interference power).,$$\rho_k = \frac{ [MASK] }{ [MASK] + \sigma_n^2 }$$,\boxed{\left| \left( \mathbf{g}_k^T \prod_{i=1}^{I_k} \mathbf{\Phi}_i \mathbf{H}_i + \mathbf{w}_k \right) \mathbf{f}_k \right|^2} and \boxed{\sum_{\substack{j=1 \\ j \neq k}}^K \left| \left( \mathbf{g}_k^T \prod_{i=1}^{I_k} \mathbf{\Phi}_i \mathbf{H}_i + \mathbf{w}_k \right) \mathbf{f}_j \right|^2},,,,,,,
candidate_shannon_capacity_03,shannon_capacity,XINLI1997/WirelessMATHBench-XL,10473,2411.11028v2,What is the complete expression inside the square root that defines the channel dispersion?,$$r = \log \left| \mathbf{I} + \mathbf{D}^{-1} \mathbf{S} \right| - Q^{-1}(\epsilon) \sqrt{ \frac{2[MASK]}{n} }$$,\boxed{\mathrm{Tr}\left( \mathbf{S} (\mathbf{D} + \mathbf{S})^{-1} \right)},,,,,,,
candidate_shannon_capacity_04,shannon_capacity,XINLI1997/WirelessMATHBench-XL,1142,2504.11905v1,What is the expression for the multi-user interference power?,"$$R_{k,n} = \frac{1}{Z} \sum_{z=1}^{Z} \log_2 \left( 1 + \frac{|(\mathbf{h}_{k,n}^{(z)})^H \mathbf{p}_{k,n}|^2}{[MASK] + \sigma^2} \right)$$","\boxed{\sum_{i \neq k}^{K} |(\mathbf{h}_{k,n}^{(z)})^H \mathbf{p}_{i,n}|^2}",,,,,,,
candidate_shannon_capacity_05,shannon_capacity,XINLI1997/WirelessMATHBench-XL,1151,2406.04188v2,What term represents the total interference power from other users?,$$\mathsf{SE}_k = \log \left(1 + \frac{ \| ( \mathbf{H}_k + \mathbf{G}_k \boldsymbol{\Theta} \mathbf{H}_{BR} ) \mathbf{f}_k \|_2^2 }{ [MASK] + \sigma_k^2 } \right)$$,\boxed{\sum_{u \neq k} \| ( \mathbf{H}_k + \mathbf{G}_k \boldsymbol{\Theta} \mathbf{H}_{BR} ) \mathbf{f}_u \|_2^2},,,,,,,
candidate_shannon_capacity_06,shannon_capacity,XINLI1997/WirelessMATHBench-XL,1152,2406.04188v2,Fill in the numerator (desired signal power) and the interference term.,$$\mathsf{SE}_k = \log \left(1 + \frac{ [MASK] }{ \sum_{u \neq k} [MASK] + \sigma_k^2 } \right)$$,\boxed{\| ( \mathbf{H}_k + \mathbf{G}_k \boldsymbol{\Theta} \mathbf{H}_{BR} ) \mathbf{f}_k \|_2^2} and \boxed{\| ( \mathbf{H}_k + \mathbf{G}_k \boldsymbol{\Theta} \mathbf{H}_{BR} ) \mathbf{f}_u \|_2^2},,,,,,,
candidate_shannon_capacity_07,shannon_capacity,XINLI1997/WirelessMATHBench-XL,12293,2507.14035v1,Fill in the logarithm function and the desired signal power term.,"$$R_{ik} = [MASK]\left(1 + \frac{ | [MASK] |^2 }{ \sum_{(j, r) \neq (i, k)} | \mathbf{h}_{ik,j}^H \mathbf{w}_{jr} |^2 + \sigma^2 } \right)$$","\boxed{\log_2} and \boxed{\mathbf{h}_{ik,i}^H \mathbf{w}_{ik}}",,,,,,,
candidate_shannon_capacity_08,shannon_capacity,XINLI1997/WirelessMATHBench-XL,13019,2409.14521v2,Write the complete piecewise function for data volume calculation.,$$D_k[n] = [MASK]$$,"\boxed{\begin{cases} \tau B R_k[n], & \mathrm{if}\ \mathbf{1}_k[n] = 1 \\ 0, & \mathrm{otherwise} \end{cases}}",,,,,,,
candidate_shannon_capacity_09,shannon_capacity,XINLI1997/WirelessMATHBench-XL,1306,2505.07555v1,What is the argument of the logarithm in the simplified sum rate expression?,$$\sum_{n=1}^{N} R_n^{\mathrm{NOMA}} = \log_2 \left([MASK]\right)$$,\boxed{\sum_{n=1}^{N} P_n h_n + \sigma^2},,,,,,,
candidate_shannon_capacity_10,shannon_capacity,XINLI1997/WirelessMATHBench-XL,1309,2505.07555v1,Write the complete simplified equation for the sum rate of all NOMA users.,$$\sum_{n=1}^{N} R_n^{\mathrm{NOMA}} = [MASK]$$,\boxed{\log_2 \left(\sum_{n=1}^{N} P_n h_n + \sigma^2\right)},,,,,,,
candidate_spectral_efficiency_01,spectral_efficiency,XINLI1997/WirelessMATHBench-XL,11012,2303.14351v1,Fill in the sub-channel bandwidth and the mathematical function used to calculate spectral efficiency.,"$$R_{n} = \sum_{m=1}^{M} \sum_{u=1}^{U} \sum_{s=1}^{S} [MASK] \cdot \rho_{n,m,s} \cdot [MASK] \left( 1 + \Gamma_{n,m,u,s} \right)$$",\boxed{W_{s}} and \boxed{\log_{2}},,,,,,,
candidate_spectral_efficiency_02,spectral_efficiency,XINLI1997/WirelessMATHBench-XL,13173,2401.05164v1,Complete the integration variable and the key parameters inside the spectral efficiency expression.,$$R(\boldsymbol{\theta}) = [MASK] \log \left| \mathbf{I} + \frac{ [MASK] }{ [MASK] } \right| \mathrm{d}f$$,"\boxed{\int_{\mathcal{B}}}, \boxed{\mathbf{H}(f, \boldsymbol{\theta}) \mathbf{G}(f) \mathbf{H}^\mathsf{H}(f, \boldsymbol{\theta})}, and \boxed{N_0}}",,,,,,,
candidate_spectral_efficiency_03,spectral_efficiency,XINLI1997/WirelessMATHBench-XL,13713,2208.14538v1,Complete the spectral efficiency summation and the interference summation scope.,$$r_{t} = [MASK] - \eta [MASK] \sum_{k' \neq k} p_{k'}^{(t)} |\boldsymbol{h}_{kk'}^{(t)}|^{2} \mathbb{I}_{k'}^{(t)}(k)$$,\boxed{\sum_{k=1}^{K} \log_{2}(1 + \gamma_{k}^{(t)})} and \boxed{\sum_{k=1}^{K}},,,,,,,
candidate_spectral_efficiency_04,spectral_efficiency,XINLI1997/WirelessMATHBench-XL,13822,2206.03250v1,Fill in the sum rate objective and the expression for the total power per user constraint.,"$$\begin{array} { r l } { \displaystyle \operatorname { Maximize } } & { \displaystyle [MASK] } \\ { \displaystyle \mathrm { Subject~to } } & { \displaystyle 0 \leq \sum _ { m = 1 } ^ { M } I ^ { k } [ m , t ] \leq 1 , \ \forall k } \\ & { \displaystyle [MASK] \leq P _ { m a x } , \ \forall k } \end{array}$$","\boxed{\sum _ { k } r _ { k } [ t ]} and \boxed{\sum _ { m = 1 } ^ { M } P ^ { k } [ m , t ]}",,,,,,,
candidate_spectral_efficiency_05,spectral_efficiency,XINLI1997/WirelessMATHBench-XL,13823,2206.03250v1,Complete the objective function variable and the two summed quantities in the constraints.,"$$\begin{array} { r l } { \displaystyle \operatorname { Maximize } } & { \displaystyle \sum _ { k } [MASK] } \\ { \displaystyle \mathrm { Subject~to } } & { \displaystyle 0 \leq [MASK] \leq 1 , \ \forall k } \\ & { \displaystyle \sum _ { m = 1 } ^ { M } [MASK] \leq P _ { m a x } , \ \forall k } \end{array}$$","\boxed{r _ { k } [ t ]}, \boxed{\sum _ { m = 1 } ^ { M } I ^ { k } [ m , t ]}, and \boxed{P ^ { k } [ m , t ]}",,,,,,,
candidate_spectral_efficiency_06,spectral_efficiency,XINLI1997/WirelessMATHBench-XL,13824,2206.03250v1,Write the complete sum rate maximization problem with its two constraints.,$$[MASK]$$,"\boxed{ \begin{array} { r l } { \displaystyle \operatorname { Maximize } } & { \displaystyle \sum _ { k } r _ { k } [ t ] } \\ { \displaystyle \mathrm { Subject~to } } & { \displaystyle 0 \leq \sum _ { m = 1 } ^ { M } I ^ { k } [ m , t ] \leq 1 , \ \forall k } \\ & { \displaystyle \sum _ { m = 1 } ^ { M } P ^ { k } [ m , t ] \leq P _ { m a x } , \ \forall k } \end{array} }",,,,,,,
candidate_spectral_efficiency_07,spectral_efficiency,XINLI1997/WirelessMATHBench-XL,16222,2204.09447v1,Fill in the channel power gain variable and the complete denominator of the SNR fraction.,$$D_k^u = \frac{n_k}{B_k^u \log_2\left(1 + \frac{\varphi(\mathrm{BER}_k) [MASK] p_k^u}{[MASK]}\right)}$$,\boxed{h_k^u} and \boxed{N_0 B_k^u},,,,,,,
candidate_spectral_efficiency_08,spectral_efficiency,XINLI1997/WirelessMATHBench-XL,4991,2507.03848v1,What objective function is being maximized?,$$\mathsf{P}_1: \quad \displaystyle\operatorname*{max}_{q_k^{\mathrm{p}}} \quad [MASK]$$,\boxed{\sum_{k=1}^{K} w_k \mathrm{SE}_k (q_k^{\mathrm{p}})},,,,,,,
candidate_spectral_efficiency_09,spectral_efficiency,XINLI1997/WirelessMATHBench-XL,5504,2508.09782v1,Write the complete equation for the $n$-th time-domain sample of the nAFDM signal.,$$s_\alpha[n] = [MASK]$$,\boxed{\frac{1}{\sqrt{N}} \sum_{m=0}^{N-1} x[m] e^{j 2\pi \left( c_1 n^2 + c_2 m^2 + \frac{\alpha n m}{N} \right)}},,,,,,,
candidate_spectral_efficiency_10,spectral_efficiency,XINLI1997/WirelessMATHBench-XL,568,2503.08937v1,"Fill in the three missing coefficients for desired power, interference power, and noise.","$$R _ { k } = \log _ { 2 } \left( 1 + \frac { [MASK] \left\lVert \boldsymbol{h} _ { k } ^ { T } \boldsymbol{f} _ { m , k } \right\rVert ^ { 2 } } { [MASK] \left\lVert \boldsymbol{h} _ { k } ^ { T } \boldsymbol{f} _ { m , k ^ { \prime } } \right\rVert ^ { 2 } + [MASK] } \right)$$","\boxed{\frac { P _ { T } } { K }}, \boxed{\sum _ { \substack { k ^ { \prime } \in \mathcal{K} \\ k ^ { \prime } \ne k } } \frac { P _ { T } } { K }}, and \boxed{\sigma ^ { 2 }}",,,,,,,
candidate_fspl_path_loss_01,fspl_path_loss,XINLI1997/WirelessMATHBench-XL,10157,2309.08995v1,Fill in the Lambertian mode factor and distance term.,$$P_{Loss} \approx \frac{ [MASK] A }{ 2\pi [MASK] } \cos^{m}(\phi_{irr}) \cos(\theta)$$,\boxed{(m + 1)} and \boxed{d_{LED-PD}^{2}},,,,,,,
candidate_fspl_path_loss_02,fspl_path_loss,XINLI1997/WirelessMATHBench-XL,10158,2309.08995v1,"Complete the area constant, denominator constant, and irradiance function.",$$P_{Loss} \approx \frac{ (m + 1) [MASK] }{ [MASK] d_{LED-PD}^{2} } [MASK] \cos(\theta)$$,"\boxed{A}, \boxed{2\pi}, and \boxed{\cos^{m}(\phi_{irr})}",,,,,,,
candidate_fspl_path_loss_03,fspl_path_loss,XINLI1997/WirelessMATHBench-XL,10241,2405.20168v1,What is the reference channel power gain at 1 meter?,"$$[\mathbf{G}_{l}^{\mathrm{AP,U}}]_{n,m} = \sqrt{\frac{[MASK]}{\|\mathbf{p}^{\mathrm{AP}} - \mathbf{p}_{l}^{\mathrm{U}}\|^2}}$$",\boxed{\beta_0}},,,,,,,
candidate_fspl_path_loss_04,fspl_path_loss,XINLI1997/WirelessMATHBench-XL,10243,2405.20168v1,Fill in the square root operator and the correct denominator.,"$$[\mathbf{G}_{l}^{\mathrm{AP,U}}]_{n,m} = [MASK]\frac{\beta_0}{[MASK]}$$","\boxed{\sqrt}}, \boxed{\|\mathbf{p}^{\mathrm{AP}} - \mathbf{p}_{l}^{\mathrm{U}}\|^2}}",,,,,,,
candidate_fspl_path_loss_05,fspl_path_loss,XINLI1997/WirelessMATHBench-XL,10727,2111.09413v1,Identify the transmitted signal and the additive noise component.,$$y_{SR} = \eta_e [MASK] h + [MASK]$$,\boxed{s_1} and \boxed{w_R},,,,,,,
candidate_fspl_path_loss_06,fspl_path_loss,XINLI1997/WirelessMATHBench-XL,10731,2111.09413v1,What special function defines the core of this PDF expression?,"$$f_{h_{SR_q}}(h_q) = \frac{a b \xi^2}{A_0 h_q \Gamma(a) \Gamma(b)} [MASK]\left( \frac{a b h_q}{A_0} \middle| \begin{array}{c} \xi^2 + 1 \\ \xi^2, a, b \end{array} \right)$$","\boxed{G_{1,3}^{3,0}}",,,,,,,
candidate_fspl_path_loss_07,fspl_path_loss,XINLI1997/WirelessMATHBench-XL,10732,2111.09413v1,Fill in the two product terms that form the numerator constant and the argument scalar.,"$$f_{h_{SR_q}}(h_q) = \frac{[MASK]}{A_0 h_q \Gamma(a) \Gamma(b)} G_{1,3}^{3,0}\left( \frac{[MASK] h_q}{A_0} \middle| \begin{array}{c} \xi^2 + 1 \\ \xi^2, a, b \end{array} \right)$$",\boxed{a b \xi^2} and \boxed{a b},,,,,,,
candidate_fspl_path_loss_08,fspl_path_loss,XINLI1997/WirelessMATHBench-XL,10733,2111.09413v1,Complete the four missing components in the pre-factor.,"$$f_{h_{SR_q}}(h_q) = \frac{[MASK]}{[MASK] h_q [MASK]} G_{1,3}^{3,0}\left( \frac{[MASK] h_q}{A_0} \middle| \begin{array}{c} \xi^2 + 1 \\ \xi^2, a, b \end{array} \right)$$","\boxed{a b \xi^2}, \boxed{A_0}, \boxed{\Gamma(a) \Gamma(b)}, \boxed{a b}",,,,,,,
candidate_fspl_path_loss_09,fspl_path_loss,XINLI1997/WirelessMATHBench-XL,10954,2207.11021v1,Write the complete equation for the total THz path loss.,"$$L_{\text{total}}(f_c, d) = [MASK]$$","\boxed{\left(\frac{4\pi f_c d}{c}\right)^2 + e^{k(f_c, d) \cdot d}}",,,,,,,
candidate_fspl_path_loss_10,fspl_path_loss,XINLI1997/WirelessMATHBench-XL,10974,2405.01358v2,Write the complete equation for the Free Space Path Loss at a 1 m distance.,"$$\mathrm{FSPL}(f_c, 1\text{ m}) = [MASK]$$",\boxed{32.4 + 20 \log_{10}\left( \frac{f_c}{1\text{ GHz}} \right)}},,,,,,,
candidate_friis_received_power_01,friis_received_power,XINLI1997/WirelessMATHBench-XL,1562,2507.14210v1,Complete the two factors that determine the EH power allocation.,$$P_{\mathrm{e}} = (1-\gamma)[MASK][MASK]$$,"\boxed{(1-\delta)}}, \boxed{P_r}}",,,,,,,
candidate_friis_received_power_02,friis_received_power,XINLI1997/WirelessMATHBench-XL,6772,2506.21966v1,Fill in the two vectors whose inner product determines the effective channel gain.,$$p_k = p_T | [MASK]^H [MASK] |^2$$,\boxed{\mathbf{h}_k} and \boxed{\mathbf{w}},,,,,,,
candidate_friis_received_power_03,friis_received_power,XINLI1997/WirelessMATHBench-XL,10122,2309.08995v1,Fill in the received power variable and the logarithm base.,$$\mathrm{SNR} = 10 \log_{10} \frac{ ([MASK] R_p)^{2} }{ \sigma_{Shot}^{2} }$$,\boxed{P_{Received}} and \boxed{10},,,,,,,
candidate_friis_received_power_04,friis_received_power,XINLI1997/WirelessMATHBench-XL,10788,2205.05036v1,Complete the summation structures for both desired and interference components.,"$$RSSI_i(m) = [MASK][MASK] g_{ik}^{UL}(m) \theta_i(m,t) + [MASK][MASK] g_{ij}^{ss}(m) \theta_i(m,t) + \sigma^2$$","\boxed{\sum_{k=1}^K}, \boxed{P_{ik}^{se}(m)}, \boxed{\sum_{j=1,j\neq i}^N}, and \boxed{P_j^s(m,t)}",,,,,,,
candidate_friis_received_power_05,friis_received_power,XINLI1997/WirelessMATHBench-XL,10789,2205.05036v1,Write the complete RSSI equation including all three components.,$$RSSI_i(m) = [MASK]$$,"\boxed{\sum_{k=1}^K P_{ik}^{se}(m) g_{ik}^{UL}(m) \theta_i(m,t) + \sum_{j=1,j\neq i}^N P_j^s(m,t) g_{ij}^{ss}(m) \theta_i(m,t) + \sigma^2}",,,,,,,
candidate_friis_received_power_06,friis_received_power,XINLI1997/WirelessMATHBench-XL,10792,2205.05036v1,Fill in both instances of the desired signal power expression.,$$\xi_i^{UL}(m) = \frac{[MASK]}{RSSI_i(m) - [MASK]}$$,"\boxed{\sum_{k=1}^K P_{ik}^{se}(m) g_{ik}^{UL}(m) \theta_i(m,t)}",,,,,,,
candidate_friis_received_power_07,friis_received_power,XINLI1997/WirelessMATHBench-XL,10793,2205.05036v1,Complete the numerator and the first term of the denominator.,"$$\xi_i^{UL}(m) = \frac{[MASK]}{[MASK] - \sum_{k=1}^K P_{ik}^{se}(m) g_{ik}^{UL}(m) \theta_i(m,t)}$$","\boxed{\sum_{k=1}^K P_{ik}^{se}(m) g_{ik}^{UL}(m) \theta_i(m,t)} and \boxed{RSSI_i(m)}",,,,,,,
candidate_friis_received_power_08,friis_received_power,XINLI1997/WirelessMATHBench-XL,11101,2403.17810v1,What is the expression for the power on subcarrier $k$ for the chosen beam pair?,"$$y_{(i,j,p,q)} = \sum_{k=0}^{K-1} [MASK]$$","\boxed{\left| \mathbf{a}^{H}(\phi_{r,p}^{b}, \theta_{r,q}^{b}) \mathbf{H}[k] \mathbf{a}(\phi_{t,i}^{b}, \theta_{t,j}^{b}) \right|^2}",,,,,,,
candidate_friis_received_power_09,friis_received_power,XINLI1997/WirelessMATHBench-XL,11104,2403.17810v1,Write the complete equation for the received power measurement.,"$$y_{(i,j,p,q)} = [MASK]$$","\boxed{\sum_{k=0}^{K-1} \left| \mathbf{a}^{H}(\phi_{r,p}^{b}, \theta_{r,q}^{b}) \mathbf{H}[k] \mathbf{a}(\phi_{t,i}^{b}, \theta_{t,j}^{b}) \right|^2}",,,,,,,
candidate_friis_received_power_10,friis_received_power,XINLI1997/WirelessMATHBench-XL,11466,2410.04681v1,What is the denominator of the free-space path loss component?,"$$g_i \triangleq \frac{P_t G_{i,A} G_{i,U} c^2}{[MASK]}$$",\boxed{(4\pi f)^2},,,,,,,
candidate_snr_conversion_01,snr_conversion,XINLI1997/WirelessMATHBench-XL,11690,2108.10414v1,"Which expression correctly represents the numerator of the fractional term, which calculates the average successful information transfer per slot?",$$f_{\kappa}(\pmb{\theta}; \pmb{x}) = T_{\kappa} \log_2(1 + \mathsf{SNR}_{\kappa}(\pmb{\theta}; \pmb{x})) \frac{[MASK]}{\pmb{t}^{\top} \pmb{p}_{\mathcal{T}}(\pmb{\theta})}$$,C,,,,,,,
candidate_snr_conversion_02,snr_conversion,XINLI1997/WirelessMATHBench-XL,12192,2205.03182v1,Fill in the two channel components whose combination determines the effective channel gain.,$$\gamma_u = \frac{P \left| [MASK] + [MASK] \mathbf{\Theta} \mathbf{h}_{br} \right|^2}{\sigma_u^2}$$,\boxed{h_{bu}} and \boxed{\mathbf{h}_{ru}^H}},,,,,,,
candidate_snr_conversion_03,snr_conversion,XINLI1997/WirelessMATHBench-XL,7591,2508.04556v1,What time period appears in the numerator to calculate the number of samples?,"$$\{\gamma(t - \Delta t), \gamma(t - \Delta t + T_s), ..., \gamma(t)\} \quad \text{with } N = \dfrac{[MASK]}{T_s}$$",\boxed{T_v},,,,,,,
candidate_snr_conversion_04,snr_conversion,XINLI1997/WirelessMATHBench-XL,8220,2507.03918v1,The equation above calculates the SNR. Which of the following is a correct alternative expression for the term whose magnitude is squared?,"$$\mathrm{SNR} = \frac{P}{\sigma^{2}} \left| h_{0} + \sum_{m=1}^{M} \sum_{\ell=1}^{L} x_{m,\ell} h_{m,\ell} \right|^{2} = [MASK]$$",D,,,,,,,
candidate_snr_conversion_05,snr_conversion,XINLI1997/WirelessMATHBench-XL,10587,2408.06288v1,"Fill in the two constants $\Lambda_{1,j}$ and $\Lambda_{2,j}$ that scale the amplitude and the argument of the Meijer G-function, respectively.","$$f_{\gamma_j}(\gamma) = \frac{[MASK]}{r \mu_{r,j}^{\frac{l_j}{r}}} \gamma^{\frac{l_j}{r}-1} G_{0,1}^{1,0}\left[ [MASK] \left( \frac{\gamma}{\mu_{r,j}} \right)^{\frac{1}{r}} \Bigg| \begin{array}{l} - \\ 0 \end{array} \right]$$","\boxed{\Lambda_{1,j}} and \boxed{\Lambda_{2,j}}",,,,,,,
candidate_snr_conversion_06,snr_conversion,XINLI1997/WirelessMATHBench-XL,10737,2111.09413v1,Fill in the gain factor and the first channel component.,$$y_{RD} = [MASK] \left[ \sum_{i=1}^{M} [MASK] I_{2_i} I_{3_i} e^{j\Theta_i} \right] s_2 + w_D$$,\boxed{M \sqrt{\gamma_0}} and \boxed{I_{1_i}},,,,,,,
candidate_snr_conversion_07,snr_conversion,XINLI1997/WirelessMATHBench-XL,10738,2111.09413v1,Complete the five missing components.,$$y_{RD} = [MASK] \left[ \sum_{i=1}^{M} [MASK] [MASK] [MASK] e^{j\Theta_i} \right] s_2 + [MASK]$$,"\boxed{M \sqrt{\gamma_0}}, \boxed{I_{1_i}}, \boxed{I_{2_i}}, \boxed{I_{3_i}}, \boxed{w_D}",,,,,,,
candidate_snr_conversion_08,snr_conversion,XINLI1997/WirelessMATHBench-XL,10739,2111.09413v1,Write the complete equation for the received signal at the destination.,$$y_{RD} = [MASK]$$,\boxed{M \sqrt{\gamma_0} \left[ \sum_{i=1}^{M} I_{1_i} I_{2_i} I_{3_i} e^{j\Theta_i} \right] s_2 + w_D},,,,,,,
candidate_snr_conversion_09,snr_conversion,XINLI1997/WirelessMATHBench-XL,10899,2204.07037v2,Write the complete equation for converting noise precision $\gamma$ to SNR in decibels.,$$\mathrm { SNR } _ { \mathrm { d B } } = [MASK]$$,\boxed{10 \log_{10} \left( \frac { E_b \gamma } { 2 R } \right)}},,,,,,,
candidate_snr_conversion_10,snr_conversion,XINLI1997/WirelessMATHBench-XL,11603,2412.04876v1,Complete the numerator and denominator of the fraction.,$$\tilde{\sigma}_G^2 = \frac{[MASK]}{[MASK]}$$,\boxed{\sigma_{G_1}^2 \cdot \sigma_{G_2}^2} and \boxed{\sigma_{G_1}^2 + \sigma_{G_2}^2},,,,,,,
candidate_sinr_01,sinr,XINLI1997/WirelessMATHBench-XL,3880,2505.01818v1,Which expression correctly calculates the electrical SINR for user $k$?,$$\Gamma_{k} = [MASK]$$,C,,,,,,,
candidate_sinr_02,sinr,XINLI1997/WirelessMATHBench-XL,10248,2405.20168v1,Complete the three missing components: the quadratic form for sensing interference and the noise power.,"$$\Gamma_{k,l} = \frac{ | (\mathbf{h}_{k,l})^{H} \mathbf{w}_{k,l} |^2 }{ \sum_{i \neq k} | (\mathbf{h}_{k,l})^{H} \mathbf{w}_{i,l} |^2 + [MASK]\mathbf{R}_{s,l}[MASK] + [MASK] }$$","\boxed{(\mathbf{h}_{k,l})^{H}}, \boxed{\mathbf{h}_{k,l}}, \boxed{\sigma_k^2}}",,,,,,,
candidate_sinr_03,sinr,XINLI1997/WirelessMATHBench-XL,1113,2506.22844v1,Complete the numerator: the received signal power components from the serving node $x$.,$$SINR_u = \frac{ [MASK] \times [MASK] }{ I_{APs} + I_{gNBs} + N_0 }$$,"\boxed{P} and \boxed{L_{u,x}^{-1}}",,,,,,,
candidate_sinr_04,sinr,XINLI1997/WirelessMATHBench-XL,11388,2306.06664v1,"Complete the numerator's allocation coefficient, the summation's starting index, and the noise power term.",$$\gamma_{k \rightarrow i} = \frac{[MASK] P |h_k|^2}{\sum_{j=[MASK]}^K a_j P |h_k|^2 + [MASK]}$$,"\boxed{a_i}, \boxed{i+1}, and \boxed{\sigma_k^2}",,,,,,,
candidate_sinr_05,sinr,XINLI1997/WirelessMATHBench-XL,12673,2111.15630v1,"Complete the three missing components: the desired signal power, the interference power, and the noise power.",$$\gamma _ { n } = \frac { [MASK] } { [MASK] + [MASK] }$$,"\boxed{p _ { n } | h _ { n } | ^ { 2 }}, \boxed{\sum _ { k = 1 , k \neq n } ^ { N } | h _ { k } | ^ { 2 } p _ { k }}, \boxed{\sigma ^ { 2 }}",,,,,,,
candidate_sinr_06,sinr,XINLI1997/WirelessMATHBench-XL,13042,2012.07034v1,Fill in the missing numerator and denominator components.,$$\gamma_u = \frac{[MASK]}{|h_u|^2}$$,\boxed{P_t |h_u|^2} and \boxed{N_0 + I} \\ (Equation: $\gamma_u = \frac{\boxed{P_t |h_u|^2}}{\boxed{N_0 + I}}$),,,,,,,
candidate_sinr_07,sinr,XINLI1997/WirelessMATHBench-XL,13053,2012.07034v1,Fill in the desired signal power factor and the allocated power factor for the interferer.,$$\hat{\gamma}_s = \frac{[MASK]}{1 + \beta [MASK] \gamma_s}$$,\boxed{\alpha_s \gamma_s} and \boxed{(1 - \alpha_s)} \\ (Equation: $\hat{\gamma}_s = \frac{\boxed{\alpha_s \gamma_s}}{1 + \beta \boxed{(1 - \alpha_s)} \gamma_s}$),,,,,,,
candidate_sinr_08,sinr,XINLI1997/WirelessMATHBench-XL,13054,2012.07034v1,Write the complete equation for the NOMA strong user's SINR.,$$\hat{\gamma}_s = [MASK]$$,\boxed{\frac{\alpha_s \gamma_s}{1 + \beta (1 - \alpha_s) \gamma_s}},,,,,,,
candidate_sinr_09,sinr,XINLI1997/WirelessMATHBench-XL,13057,2012.07034v1,What is the normalized desired signal power for the weak user?,$$\hat{\gamma}_w = \frac{[MASK]}{1 + \alpha_s \gamma_w}$$,\boxed{(1 - \alpha_s) \gamma_w},,,,,,,
candidate_sinr_10,sinr,XINLI1997/WirelessMATHBench-XL,13058,2012.07034v1,Complete the numerator and denominator for the weak user's SINR.,$$\hat{\gamma}_w = \frac{[MASK]}{[MASK]}$$,\boxed{(1 - \alpha_s) \gamma_w} and \boxed{1 + \alpha_s \gamma_w} \\ (Equation: $\hat{\gamma}_w = \frac{\boxed{(1 - \alpha_s) \gamma_w}}{\boxed{1 + \alpha_s \gamma_w}}$),,,,,,,
